ID,Category,Priority,Question
D3,Contact,P2,"Do you want separate forms for general enquiries, service bookings, collaboration or partnership, and parts enquiries - or one form with a dropdown?"
D4,Contact,P2,"Should customers be able to attach photos of their vehicle or the part they need?"
D5,Contact,P3,"Is there a response time you would like displayed (e.g. we reply within 24 hours)?"
E1,Services,P1,"Can you provide your list of services with a short description of each?"
E2,Services,P2,"Should each service show pricing, a from-$X figure, or no price at all?"
E3,Services,P2,"Are there services you want given more prominence, or any you would rather not advertise publicly?"
E4,Services,P3,"Do you serve a specific geographic area we should state on the site?"
F1,Portfolio,P1,"Roughly how many completed projects can you supply for launch, and do you have photos (ideally before and after) plus a short write-up for each?"
F2,Portfolio,P1,"Do you have existing customer reviews we can publish with the customer name, or should new ones be collected? If neither is possible in time, are you comfortable with us using clearly-labelled sample testimonials for the demonstration?"
F3,Portfolio,P2,"Should the portfolio be filterable - by vehicle make, by service type, or not at all?"
F4,Portfolio,P2,"Are there any projects or customers that cannot be shown publicly for confidentiality reasons?"
F5,Portfolio,P3,"Should customers be able to submit a review through the website (subject to your approval before it appears), or will you add reviews yourself?"
G1,Admin,P1,"Please confirm which of these you want to add and edit yourself without a developer: services, portfolio projects, parts listings, wanted/exchange posts, testimonials, enquiries, general page text and images. Anything not on your list we can build as fixed content and save time."
G2,Admin,P2,"Who should have admin access, and should any of them be restricted (e.g. able to manage listings but not edit page content)?"
G3,Admin,P3,"Would you like a simple dashboard showing recent enquiries and active listings when you log in?"
H1,Branding,P1,"Do you have a logo, brand colours and fonts we should use, or do you need these designed? Please share any existing marketing material, business cards, or social media pages so the site matches."
H2,Branding,P1,"When can you provide photos, service descriptions and an initial parts list? Even an approximate date helps us plan our build order."
H3,Branding,P2,"What tone should the site have - premium and performance-focused, or approachable local workshop?"
H4,Branding,P2,"Are there any automotive websites you like the look of, or any you strongly dislike?"
H5,Branding,P3,"Which social media accounts should we link to, and should an Instagram feed be embedded?"
I1,Scale / Data,P1,"Roughly how many parts listings do you expect at launch, and after a year - tens, hundreds, or thousands?"
I2,Scale / Data,P1,"Do you already track parts in a spreadsheet or system we could use as sample data, or should we build with invented sample data?"
I3,Scale / Data,P2,"What details does a part listing need? Suggested: title, description, price, condition, quantity, compatible make/model/year, part number, photos. Anything to add or remove?"
I4,Scale / Data,P2,"How would you like customers to search - free text, or filters by make, model, year, category and price?"
J1,Trust / Privacy,P1,"What business details should appear publicly - trading name, ABN, full street address or suburb only, phone, email, opening hours?"
J2,Trust / Privacy,P2,"What proof of legitimacy would you like shown - ABN, years in operation, qualifications, certifications, insurance, industry affiliations?"
J3,Trust / Privacy,P2,"Do you have a privacy policy and terms of use? If not, are you comfortable with us drafting basic versions for you to review before publishing?"
J4,Trust / Privacy,P2,"Customer enquiry and account data will be stored in a hosted database. Do you have a preference for it being hosted in Australia, and is there any data you would prefer we do not store?"
K1,Hosting / Launch,P1,"Do you already own a domain name and hosting, or is this a prototype for now?"
K2,Hosting / Launch,P1,"Is the intention for this site to go live publicly at the end of the project, or is it a university deliverable only? This affects how we set up hosting and accounts."
K3,Hosting / Launch,P2,"If it goes live, who will maintain it afterwards, and would you like written handover documentation?"
K4,Hosting / Launch,P3,"Do you want Google Analytics, and is appearing in Google search results a priority?"
L1,Process,P1,"If we cannot complete everything in the available time, what are your top three priorities in order?"
L2,Process,P1,"Who is our main point of contact, what is the best email and phone number, and what is your preferred way to be contacted?"
L3,Process,P2,"Would you be available for a short call (around 20 minutes) at the start, and a progress review partway through?"
L4,Process,P2,"Are you happy to sign off on the confirmed requirements once we have documented them, so both sides have a clear record?"
L5,Process,P3,"Is there anything you have seen on a competitor site that you specifically want, or specifically want to avoid?"
